SNR_dB,Modulation
11.236203565420874,16QAM
28.521429192297486,QPSK
21.959818254342153,QPSK
17.959754525911098,16QAM
4.680559213273096,64QAM
4.679835610086079,64QAM
1.7425083650459838,16QAM
25.985284373248057,64QAM
18.033450352296263,64QAM
21.242177333881365,64QAM
0.6175348288740734,16QAM
29.09729556485983,QPSK
24.973279224012654,QPSK
6.370173320348284,QPSK
5.454749016213018,QPSK
5.502135295603015,QPSK
9.127267288786133,64QAM
15.742692948967136,64QAM
12.958350559263472,64QAM
8.736874205941257,16QAM
18.355586841671386,64QAM
4.184815819561255,QPSK
8.764339456056545,64QAM
10.99085529881075,QPSK
13.682099526511077,64QAM
23.555278841790408,QPSK
5.990213464750792,64QAM
15.427033152408349,QPSK
17.772437065861276,QPSK
1.3935123815999317,16QAM
18.22634555704315,64QAM
5.115723710618746,QPSK
1.9515477895583855,64QAM
28.466566117599996,QPSK
28.96896099223678,16QAM
24.251920443493834,16QAM
9.13841307520112,16QAM
2.930163420191516,16QAM
20.526990795364707,QPSK
13.204574812188039,64QAM
3.6611470453433648,16QAM
14.855307303338105,16QAM
1.0316556334565519,16QAM
27.279612062363462,64QAM
7.7633994480005075,QPSK
19.87566853061946,QPSK
9.351332282682328,QPSK
15.602040635334324,QPSK
16.40130838029839,64QAM
5.545633665765811,64QAM
29.087538832936758,64QAM
23.253984700833435,16QAM
28.184968246925674,64QAM
26.844820512829465,QPSK
17.936999364332554,64QAM
27.656227050693506,16QAM
2.6547750615575847,QPSK
5.879485872574356,64QAM
1.356818667316142,QPSK
9.759909922897931,QPSK
11.660318690684461,64QAM
8.140470953216877,64QAM
24.86212527455788,16QAM
10.702599800807679,64QAM
8.428035290621423,64QAM
16.280882494747456,64QAM
4.22772674924288,QPSK
24.06590942262119,16QAM
2.236519310393125,QPSK
29.60660809801552,64QAM
23.167343078899723,16QAM
5.961470446025173,64QAM
0.16566351370807197,QPSK
24.463842853645026,QPSK
21.205720315428515,64QAM
21.87021504122962,16QAM
